crop,year,season,state,area,production,annual rainfall,yield
Potato,2010,Whole Year ,Andhra Pradesh,5953.0,66316,1297.0,10.99875
Rice,2010,Kharif     ,Andhra Pradesh,2921793.0,7509866,1297.0,2.666818182
Rice,2010,Rabi       ,Andhra Pradesh,1829516.0,6909447,1297.0,3.325909091
Sugarcane,2010,Whole Year ,Andhra Pradesh,191729.0,14942455,1297.0,81.58380952
Sunflower,2010,Whole Year ,Andhra Pradesh,225361.0,156170,1297.0,1.032272727
Wheat,2010,Rabi       ,Andhra Pradesh,10085.0,13143,1297.0,1.311818182
Bajra,2010,Kharif     ,Karnataka,307977.0,291109,1317.7,0.883125
Bajra,2010,Rabi       ,Karnataka,160.0,136,1317.7,0.84
Bajra,2010,Summer     ,Karnataka,1090.0,955,1317.7,0.9
Groundnut,2010,Kharif     ,Karnataka,658739.0,432075,1317.7,0.797407407
Groundnut,2010,Rabi       ,Karnataka,187013.0,168264,1317.7,1.024482759
Maize,2010,Kharif     ,Karnataka,1139899.0,3908386,1317.7,3.354285714
Maize,2010,Rabi       ,Karnataka,115803.0,321962,1317.7,2.8475
Maize,2010,Summer     ,Karnataka,30734.0,104275,1317.7,3.294137931
Onion,2010,Kharif     ,Karnataka,143154.0,893739,1317.7,6.8968
Onion,2010,Rabi       ,Karnataka,14430.0,98814,1317.7,7.219047619
Onion,2010,Summer     ,Karnataka,4680.0,49792,1317.7,10.59809524
Potato,2010,Kharif     ,Karnataka,32843.0,249472,1317.7,8.056875
Potato,2010,Rabi       ,Karnataka,5944.0,69194,1317.7,12.75454545
Potato,2010,Summer     ,Karnataka,1437.0,22093,1317.7,15.26142857
Rice,2010,Kharif     ,Karnataka,1129304.0,3192746,1317.7,2.654
Rice,2010,Rabi       ,Karnataka,49700.0,117501,1317.7,2.668333333
Rice,2010,Summer     ,Karnataka,360062.0,1163725,1317.7,2.935714286
Sugarcane,2010,Whole Year ,Karnataka,436798.0,42276713,1317.7,97.33137931
Sunflower,2010,Kharif     ,Karnataka,193955.0,97869,1317.7,0.569583333
Sunflower,2010,Rabi       ,Karnataka,193178.0,98783,1317.7,0.706521739
Sunflower,2010,Summer     ,Karnataka,22120.0,22405,1317.7,1.032173913
Wheat,2010,Rabi       ,Karnataka,254755.0,300237,1317.7,1.166470588
Rice,2010,Autumn     ,Kerala,70498.28,170262,3131.8,2.236923077
Rice,2010,Summer     ,Kerala,51132.63,137465,3131.8,2.48
Rice,2010,Winter     ,Kerala,91555.59,215011,3131.8,2.202142857
Sugarcane,2010,Whole Year ,Kerala,2844.91,271845,3131.8,41.51714286
Maize,2010,Kharif     ,Meghalaya,17276.0,26500,3119.7,1.561428571
Potato,2010,Whole Year ,Meghalaya,17685.0,164647,3119.7,7.374285714
Rice,2010,Autumn     ,Meghalaya,32596.0,42492,3119.7,1.53
Rice,2010,Rabi       ,Meghalaya,12797.0,47413,3119.7,2.077142857
Rice,2010,Winter     ,Meghalaya,62892.0,117116,3119.7,1.828571429
Sugarcane,2010,Whole Year ,Meghalaya,68.0,180,3119.7,2.35
Wheat,2010,Rabi       ,Meghalaya,393.0,704,3119.7,1.2475
Bajra,2011,Kharif     ,Puducherry,11.0,29,1434.5875,2.64
Bajra,2011,Summer     ,Puducherry,20.0,51,1434.5875,2.55
Groundnut,2011,Kharif     ,Puducherry,16.0,30,1434.5875,1.88
Groundnut,2011,Rabi       ,Puducherry,282.0,389,1434.5875,1.195
Groundnut,2011,Summer     ,Puducherry,21.0,38,1434.5875,1.47
Onion,2011,Rabi       ,Puducherry,1.0,7,1434.5875,7.0
Rice,2011,Kharif     ,Puducherry,4237.0,12794,1434.5875,3.046666667
Rice,2011,Rabi       ,Puducherry,10324.0,23489,1434.5875,2.856666667
Rice,2011,Summer     ,Puducherry,2015.0,5831,1434.5875,2.49
Sugarcane,2011,Kharif     ,Puducherry,1949.0,287785,1434.5875,147.66
Maize,2011,Kharif     ,Assam,21297.0,17075,1743.4,0.693333333
Onion,2011,Whole Year ,Assam,7372.0,22595,1743.4,3.02962963
Potato,2011,Whole Year ,Assam,97816.0,682597,1743.4,7.035925926
Rice,2011,Autumn     ,Assam,276486.0,338015,1743.4,1.268518519
Rice,2011,Summer     ,Assam,393619.0,1080072,1743.4,2.489615385
Rice,2011,Winter     ,Assam,1875601.0,3297591,1743.4,1.797037037
Sugarcane,2011,Whole Year ,Assam,28404.0,1052514,1743.4,37.69074074
Wheat,2011,Rabi       ,Assam,40194.0,48592,1743.4,1.169615385
Bajra,2011,Kharif     ,Andhra Pradesh,32415.0,47506,861.9,1.221764706
Bajra,2011,Rabi       ,Andhra Pradesh,10748.0,11138,861.9,1.235
Groundnut,2011,Kharif     ,Andhra Pradesh,1056654.0,381759,861.9,1.129047619
Groundnut,2011,Rabi       ,Andhra Pradesh,250382.0,462862,861.9,2.021363636
Maize,2011,Kharif     ,Andhra Pradesh,530919.0,1492303,861.9,3.427727273
Maize,2011,Rabi       ,Andhra Pradesh,332805.0,2163376,861.9,6.432272727
Onion,2011,Kharif     ,Andhra Pradesh,39613.0,554878,861.9,13.41823529
Onion,2011,Rabi       ,Andhra Pradesh,17378.0,444871,861.9,24.52894737
Potato,2011,Whole Year ,Andhra Pradesh,6057.0,60802,861.9,10.52428571
Rice,2011,Kharif     ,Andhra Pradesh,2873949.0,8563334,861.9,2.909090909
Rice,2011,Rabi       ,Andhra Pradesh,1221899.0,4328458,861.9,3.031818182
Sugarcane,2011,Whole Year ,Andhra Pradesh,204038.0,16688857,861.9,86.0155
Sunflower,2011,Whole Year ,Andhra Pradesh,157535.0,123565,861.9,0.978181818
Wheat,2011,Rabi       ,Andhra Pradesh,8255.0,10914,861.9,1.306666667
Bajra,2011,Kharif     ,Karnataka,281701.0,256072,1178.986364,0.802352941
Bajra,2011,Rabi       ,Karnataka,1350.0,1225,1178.986364,0.98
Bajra,2011,Summer     ,Karnataka,3193.0,3328,1178.986364,1.013333333
Groundnut,2011,Kharif     ,Karnataka,509848.0,295650,1178.986364,0.694444444
Groundnut,2011,Rabi       ,Karnataka,167796.0,141687,1178.986364,0.968928571
Maize,2011,Kharif     ,Karnataka,1206528.0,3433881,1178.986364,2.855357143
Maize,2011,Rabi       ,Karnataka,111362.0,347253,1178.986364,3.0375
Maize,2011,Summer     ,Karnataka,31494.0,106783,1178.986364,3.159655172
Onion,2011,Kharif     ,Karnataka,136540.0,674001,1178.986364,5.5184
Onion,2011,Rabi       ,Karnataka,13695.0,108989,1178.986364,8.495454545
Onion,2011,Summer     ,Karnataka,3572.0,21998,1178.986364,6.214285714
Potato,2011,Kharif     ,Karnataka,30868.0,255098,1178.986364,8.90875
Potato,2011,Rabi       ,Karnataka,6763.0,82152,1178.986364,12.50666667
Potato,2011,Summer     ,Karnataka,737.0,10633,1178.986364,14.4325
Rice,2011,Kharif     ,Karnataka,1117720.0,3218289,1178.986364,2.702666667
Rice,2011,Rabi       ,Karnataka,43192.0,94196,1178.986364,2.378181818
Rice,2011,Summer     ,Karnataka,255223.0,869134,1178.986364,2.931428571
Sugarcane,2011,Whole Year ,Karnataka,431405.0,39470478,1178.986364,89.37346154
Sunflower,2011,Kharif     ,Karnataka,190774.0,82494,1178.986364,0.50625
Sunflower,2011,Rabi       ,Karnataka,172011.0,65833,1178.986364,0.581818182
Sunflower,2011,Summer     ,Karnataka,18482.0,18869,1178.986364,1.035
Wheat,2011,Rabi       ,Karnataka,225472.0,200932,1178.986364,0.981333333
Potato,2011,Whole Year ,Kerala,386.0,4827,3035.1,11.5
Rice,2011,Autumn     ,Kerala,68134.83,171662,3035.1,2.301538462
Rice,2011,Summer     ,Kerala,47290.01,149217,3035.1,2.7
Rice,2011,Winter     ,Kerala,92734.9,248114,3035.1,2.426428571
Sugarcane,2011,Whole Year ,Kerala,2604.41,263034,3035.1,38.00357143
Maize,2011,Kharif     ,Meghalaya,17303.0,26939,4083.104545,1.58
Potato,2011,Whole Year ,Meghalaya,17717.0,165670,4083.104545,7.448571429
Rice,2011,Autumn     ,Meghalaya,32605.0,43401,4083.104545,1.511428571
Rice,2011,Rabi       ,Meghalaya,12836.0,54206,4083.104545,2.07
Rice,2011,Winter     ,Meghalaya,63434.0,125124,4083.104545,1.91
Sugarcane,2011,Whole Year ,Meghalaya,74.0,199,4083.104545,2.444
Wheat,2011,Rabi       ,Meghalaya,395.0,710,4083.104545,1.34
Bajra,2011,Kharif     ,Tamil Nadu,30837.0,68165,926.5,2.1
Bajra,2011,Rabi       ,Tamil Nadu,15827.0,46282,926.5,2.827272727
Groundnut,2011,Kharif     ,Tamil Nadu,249079.0,548503,926.5,2.228
Groundnut,2011,Rabi       ,Tamil Nadu,136533.0,512151,926.5,3.583793103
Maize,2011,Kharif     ,Tamil Nadu,176287.0,1001667,926.5,5.832307692
Maize,2011,Rabi       ,Tamil Nadu,104342.0,693800,926.5,6.611481481
Onion,2011,Whole Year ,Tamil Nadu,34913.0,376947,926.5,11.16703704
Potato,2011,Whole Year ,Tamil Nadu,4673.0,92207,926.5,19.59125
Rice,2011,Kharif     ,Tamil Nadu,1903772.0,7458657,926.5,4.226451613
Sugarcane,2011,Whole Year ,Tamil Nadu,346350.0,38974842,926.5,113.736
Sunflower,2011,Whole Year ,Tamil Nadu,13610.0,24622,926.5,1.779230769
Bajra,2012,Kharif     ,Andhra Pradesh,60000.0,100000,968.7,1.483636364
Bajra,2012,Rabi       ,Andhra Pradesh,7000.0,11000,968.7,1.4
Groundnut,2012,Kharif     ,Andhra Pradesh,1059000.0,563000,968.7,1.296
Groundnut,2012,Rabi       ,Andhra Pradesh,286000.0,549000,968.7,2.015238095
Maize,2012,Kharif     ,Andhra Pradesh,565000.0,2341000,968.7,4.040952381
Maize,2012,Rabi       ,Andhra Pradesh,407000.0,2513000,968.7,6.119545455
Onion,2012,Kharif     ,Andhra Pradesh,25000.0,450000,968.7,15.35285714
Onion,2012,Rabi       ,Andhra Pradesh,14000.0,386000,968.7,25.34375
Potato,2012,Kharif     ,Andhra Pradesh,267.0,4093,968.7,16.335
Potato,2012,Rabi       ,Andhra Pradesh,934.0,14306,968.7,17.176
Rice,2012,Kharif     ,Andhra Pradesh,2487000.0,7167000,968.7,2.969545455
Rice,2012,Rabi       ,Andhra Pradesh,1141000.0,4344000,968.7,3.243636364
Sugarcane,2012,Whole Year ,Andhra Pradesh,196000.0,15448000,968.7,81.79941176
Sunflower,2012,Kharif     ,Andhra Pradesh,19000.0,14000,968.7,0.763333333
Sunflower,2012,Rabi       ,Andhra Pradesh,123000.0,87000,968.7,0.758333333
Wheat,2012,Rabi       ,Andhra Pradesh,8000.0,9000,968.7,1.25
Maize,2012,Kharif     ,Assam,23695.0,21258,2167.5,0.771481481
Onion,2012,Whole Year ,Assam,7099.0,25893,2167.5,3.265185185
Potato,2012,Whole Year ,Assam,95436.0,708632,2167.5,7.105555556
Rice,2012,Autumn     ,Assam,238178.0,308745,2167.5,1.291481481
Rice,2012,Summer     ,Assam,389140.0,1155877,2167.5,2.7724
Rice,2012,Winter     ,Assam,1857410.0,3655430,2167.5,1.968888889
Sugarcane,2012,Whole Year ,Assam,28871.0,1028161,2167.5,35.72222222
Wheat,2012,Rabi       ,Assam,33984.0,44190,2167.5,1.2508
Bajra,2012,Kharif     ,Karnataka,274615.0,285157,956.2,0.986190476
Groundnut,2012,Kharif     ,Karnataka,404646.0,227389,956.2,0.604642857
Groundnut,2012,Rabi       ,Karnataka,18818.0,31805,956.2,1.695
Groundnut,2012,Summer     ,Karnataka,165406.0,135976,956.2,0.887826087
Maize,2012,Kharif     ,Karnataka,1161644.0,2978477,956.2,2.741071429
Maize,2012,Rabi       ,Karnataka,127577.0,386114,956.2,3.155185185
Maize,2012,Summer     ,Karnataka,32413.0,111382,956.2,3.439666667
Onion,2012,Kharif     ,Karnataka,67739.0,359625,956.2,5.5388
Onion,2012,Rabi       ,Karnataka,12087.0,79118,956.2,7.056666667
Onion,2012,Summer     ,Karnataka,3543.0,20096,956.2,5.650952381
Potato,2012,Kharif     ,Karnataka,27314.0,174423,956.2,7.302
Potato,2012,Rabi       ,Karnataka,6843.0,116214,956.2,16.72363636
Potato,2012,Summer     ,Karnataka,729.0,15896,956.2,21.82333333
Rice,2012,Kharif     ,Karnataka,1048427.0,2667359,956.2,2.418333333
Rice,2012,Rabi       ,Karnataka,45326.0,109309,956.2,2.394615385
Rice,2012,Summer     ,Karnataka,185162.0,587711,956.2,2.747777778
Sugarcane,2012,Whole Year ,Karnataka,425393.0,35510714,956.2,83.30689655
Sunflower,2012,Kharif     ,Karnataka,210992.0,106890,956.2,0.508846154
Sunflower,2012,Rabi       ,Karnataka,278912.0,138485,956.2,0.575714286
Sunflower,2012,Summer     ,Karnataka,20178.0,20173,956.2,1.010952381
Wheat,2012,Rabi       ,Karnataka,225274.0,178871,956.2,0.846428571
Groundnut,2012,Whole Year ,Kerala,784.0,976,2187.6,1.24
Maize,2012,Whole Year ,Kerala,180.0,15,2187.6,0.535
Onion,2012,Whole Year ,Kerala,40.0,0,2187.6,0.0
Potato,2012,Whole Year ,Kerala,975.0,19050,2187.6,18.905
Rice,2012,Autumn     ,Kerala,63232.0,161083,2187.6,2.41
Rice,2012,Summer     ,Kerala,47294.0,134609,2187.6,2.482142857
Rice,2012,Winter     ,Kerala,86751.0,212607,2187.6,2.355
Sugarcane,2012,Whole Year ,Kerala,1742.0,165720,2187.6,48.69090909
Wheat,2012,Whole Year ,Kerala,1.0,0,2187.6,0.0
Maize,2012,Whole Year ,Meghalaya,18015.0,38732,2945.3,2.2
Potato,2012,Whole Year ,Meghalaya,18139.0,172955,2945.3,7.585714286
Rice,2012,Autumn     ,Meghalaya,33000.0,66000,2945.3,2.232857143
Rice,2012,Rabi       ,Meghalaya,13267.0,56786,2945.3,2.13
Rice,2012,Winter     ,Meghalaya,63484.0,142867,2945.3,2.118571429
Sugarcane,2012,Whole Year ,Meghalaya,95.0,280,2945.3,2.72
Wheat,2012,Rabi       ,Meghalaya,406.0,742,2945.3,1.356666667
Bajra,2013,Kharif     ,Andhra Pradesh,46930.0,77599,1062.3,1.621818182
Bajra,2013,Rabi       ,Andhra Pradesh,2297.0,4256,1062.3,1.78
Groundnut,2013,Kharif     ,Andhra Pradesh,1085991.0,680825,1062.3,1.493076923
Groundnut,2013,Rabi       ,Andhra Pradesh,90386.0,200486,1062.3,2.412307692
Maize,2013,Kharif     ,Andhra Pradesh,109846.0,407657,1062.3,3.460769231
Maize,2013,Rabi       ,Andhra Pradesh,242269.0,1805828,1062.3,7.458461538
Onion,2013,Kharif     ,Andhra Pradesh,20959.0,394680,1062.3,18.40181818
Onion,2013,Rabi       ,Andhra Pradesh,5326.0,117905,1062.3,19.63545455
Potato,2013,Kharif     ,Andhra Pradesh,385.0,6710,1062.3,16.03
Potato,2013,Rabi       ,Andhra Pradesh,1073.0,18530,1062.3,15.024
Rice,2013,Kharif     ,Andhra Pradesh,1705555.0,4356822,1062.3,2.715384615
Rice,2013,Rabi       ,Andhra Pradesh,877885.0,3636603,1062.3,3.408461538
Sugarcane,2013,Whole Year ,Andhra Pradesh,152847.0,12008047,1062.3,84.42615385
Sunflower,2013,Kharif     ,Andhra Pradesh,17828.0,14053,1062.3,0.764285714
Sunflower,2013,Rabi       ,Andhra Pradesh,62122.0,53925,1062.3,0.989230769
Wheat,2013,Rabi       ,Andhra Pradesh,348.0,249,1062.3,0.68
Maize,2013,Kharif     ,Assam,24068.0,76998,1797.7,3.53037037
Onion,2013,Whole Year ,Assam,7436.0,28812,1797.7,3.347037037
Potato,2013,Whole Year ,Assam,97956.0,700144,1797.7,7.258148148
Rice,2013,Autumn     ,Assam,223332.0,294440,1797.7,1.386296296
Rice,2013,Summer     ,Assam,399132.0,1189858,1797.7,2.655925926
Rice,2013,Winter     ,Assam,1880737.0,3709081,1797.7,1.982592593
Sugarcane,2013,Whole Year ,Assam,29083.0,1075171,1797.7,36.24925926
Wheat,2013,Rabi       ,Assam,31294.0,40444,1797.7,1.232
Groundnut,2013,Kharif     ,Goa,394.0,951,3642.6,2.41
Groundnut,2013,Rabi       ,Goa,2197.0,5639,3642.6,2.285
Rice,2013,Kharif     ,Goa,28330.0,80114,3642.6,2.82
Rice,2013,Rabi       ,Goa,14490.0,46397,3642.6,3.205
Sugarcane,2013,Whole Year ,Goa,872.0,47669,3642.6,48.06
Bajra,2013,Kharif     ,Karnataka,280471.0,330923,1235.6,1.097727273
Groundnut,2013,Kharif     ,Karnataka,472982.0,399318,1235.6,0.8375
Groundnut,2013,Rabi       ,Karnataka,4041.0,7466,1235.6,1.855
Groundnut,2013,Summer     ,Karnataka,177896.0,158590,1235.6,0.96375
Maize,2013,Kharif     ,Karnataka,1246109.0,3950152,1235.6,3.165
Maize,2013,Rabi       ,Karnataka,103879.0,318029,1235.6,2.988888889
Maize,2013,Summer     ,Karnataka,27180.0,88183,1235.6,3.111724138
Onion,2013,Kharif     ,Karnataka,112723.0,745697,1235.6,6.9688
Onion,2013,Rabi       ,Karnataka,19940.0,140107,1235.6,7.312608696
Onion,2013,Summer     ,Karnataka,5914.0,46434,1235.6,8.033333333
Potato,2013,Kharif     ,Karnataka,29813.0,196133,1235.6,7.544117647
Potato,2013,Rabi       ,Karnataka,7354.0,111892,1235.6,15.11727273
Potato,2013,Summer     ,Karnataka,582.0,8176,1235.6,14.03416667
Rice,2013,Kharif     ,Karnataka,1035111.0,3057894,1235.6,2.792666667
Rice,2013,Rabi       ,Karnataka,40896.0,102639,1235.6,2.545833333
Rice,2013,Summer     ,Karnataka,264028.0,892066,1235.6,3.022962963
Sugarcane,2013,Whole Year ,Karnataka,420022.0,38042382,1235.6,87.8824
Sunflower,2013,Kharif     ,Karnataka,186601.0,108957,1235.6,0.562083333
Sunflower,2013,Rabi       ,Karnataka,211484.0,125464,1235.6,0.706
Sunflower,2013,Summer     ,Karnataka,18620.0,18523,1235.6,1.0455
Wheat,2013,Rabi       ,Karnataka,209079.0,210041,1235.6,1.068571429
Groundnut,2013,Whole Year ,Kerala,710.0,868,3255.4,1.22
Maize,2013,Whole Year ,Kerala,51.0,71,3255.4,1.445
Onion,2013,Whole Year ,Kerala,103.0,0,3255.4,0.0
Potato,2013,Whole Year ,Kerala,759.0,14846,3255.4,19.56
Rice,2013,Autumn     ,Kerala,51922.0,141234,3255.4,2.416923077
Rice,2013,Summer     ,Kerala,46865.0,137477,3255.4,2.673571429
Rice,2013,Winter     ,Kerala,100824.0,285614,3255.4,2.506428571
Sugarcane,2013,Whole Year ,Kerala,2210.29,221520,3255.4,59.56181818
Maize,2013,Whole Year ,Meghalaya,18025.0,39655,2448.4,2.16
Potato,2013,Whole Year ,Meghalaya,18449.0,181813,2448.4,7.969090909
Rice,2013,Autumn     ,Meghalaya,22569.0,48727,2448.4,2.448571429
Rice,2013,Rabi       ,Meghalaya,13444.0,58685,2448.4,2.396363636
Rice,2013,Winter     ,Meghalaya,46424.0,111289,2448.4,2.238571429
Sugarcane,2013,Whole Year ,Meghalaya,105.0,315,2448.4,2.675
Wheat,2013,Rabi       ,Meghalaya,422.0,789,2448.4,1.506
Bajra,2013,Kharif     ,Tamil Nadu,30322.0,69197,740.9,2.3008
Bajra,2013,Rabi       ,Tamil Nadu,24090.0,48239,740.9,2.14
Groundnut,2013,Kharif     ,Tamil Nadu,215825.0,477595,740.9,2.305862069
Groundnut,2013,Rabi       ,Tamil Nadu,120796.0,438289,740.9,3.385666667
Maize,2013,Kharif     ,Tamil Nadu,223113.0,1458297,740.9,6.161111111
Maize,2013,Rabi       ,Tamil Nadu,157316.0,786919,740.9,5.431724138
Onion,2013,Kharif     ,Tamil Nadu,9104.0,105866,740.9,11.31961538
Onion,2013,Rabi       ,Tamil Nadu,15883.0,134505,740.9,8.304615385
Potato,2013,Kharif     ,Tamil Nadu,3875.0,70206,740.9,18.37333333
Potato,2013,Rabi       ,Tamil Nadu,2044.0,52531,740.9,24.145
Rice,2013,Kharif     ,Tamil Nadu,1725730.0,7115195,740.9,4.491935484
Sugarcane,2013,Whole Year ,Tamil Nadu,313343.0,32454135,740.9,97.58677419
Sunflower,2013,Kharif     ,Tamil Nadu,2155.0,3893,740.9,1.71875
Sunflower,2013,Rabi       ,Tamil Nadu,5827.0,5800,740.9,1.340869565
Bajra,2014,Kharif     ,Andhra Pradesh,24755.0,31913,687.6,1.560909091
Bajra,2014,Rabi       ,Andhra Pradesh,3423.0,6586,687.6,1.624285714
Groundnut,2014,Kharif     ,Andhra Pradesh,803988.0,329520,687.6,1.315384615
Groundnut,2014,Rabi       ,Andhra Pradesh,70102.0,163003,687.6,2.782307692
Maize,2014,Kharif     ,Andhra Pradesh,99863.0,328758,687.6,3.446923077
Maize,2014,Rabi       ,Andhra Pradesh,203463.0,1609315,687.6,7.481538462
Onion,2014,Kharif     ,Andhra Pradesh,29445.0,540640,687.6,17.84545455
Onion,2014,Rabi       ,Andhra Pradesh,3983.0,85150,687.6,19.12090909
Potato,2014,Kharif     ,Andhra Pradesh,351.0,6055,687.6,17.6225
Potato,2014,Rabi       ,Andhra Pradesh,1034.0,17881,687.6,17.564
Rice,2014,Kharif     ,Andhra Pradesh,1634921.0,5097447,687.6,3.184615385
Rice,2014,Rabi       ,Andhra Pradesh,759034.0,3358137,687.6,3.541538462
Sugarcane,2014,Whole Year ,Andhra Pradesh,139226.0,10002941,687.6,81.93615385
Sunflower,2014,Kharif     ,Andhra Pradesh,11028.0,5949,687.6,0.811428571
Sunflower,2014,Rabi       ,Andhra Pradesh,39011.0,34218,687.6,0.924615385
Wheat,2014,Rabi       ,Andhra Pradesh,320.0,256,687.6,1.02
Maize,2014,Kharif     ,Assam,27953.0,93179,1899.0,2.96962963
Onion,2014,Whole Year ,Assam,8283.0,32421,1899.0,3.382592593
Potato,2014,Whole Year ,Assam,104521.0,783768,1899.0,7.653703704
Rice,2014,Autumn     ,Assam,196188.0,280693,1899.0,1.531481481
Rice,2014,Summer     ,Assam,416353.0,1224046,1899.0,2.613076923
Rice,2014,Winter     ,Assam,1882756.0,3717906,1899.0,1.977777778
Sugarcane,2014,Whole Year ,Assam,29900.0,1099134,1899.0,36.59814815
Wheat,2014,Rabi       ,Assam,23646.0,28769,1899.0,1.199615385
Groundnut,2014,Kharif     ,Goa,361.0,734,3491.2,2.03
Groundnut,2014,Rabi       ,Goa,1910.0,3577,3491.2,1.87
Rice,2014,Kharif     ,Goa,27840.0,81269,3491.2,2.925
Rice,2014,Rabi       ,Goa,14130.0,39236,3491.2,2.775
Sugarcane,2014,Whole Year ,Goa,808.0,49215,3491.2,54.35
Bajra,2014,Kharif     ,Karnataka,234289.0,248601,1238.5,0.985555556
Groundnut,2014,Kharif     ,Karnataka,479475.0,349382,1238.5,0.740714286
Groundnut,2014,Rabi       ,Karnataka,3720.0,7426,1238.5,2.0
Groundnut,2014,Summer     ,Karnataka,170699.0,144960,1238.5,0.94173913
Maize,2014,Kharif     ,Karnataka,1210336.0,3788289,1238.5,3.134642857
Maize,2014,Rabi       ,Karnataka,102820.0,347250,1238.5,3.191785714
Maize,2014,Summer     ,Karnataka,23928.0,78040,1238.5,3.19
Onion,2014,Kharif     ,Karnataka,165553.0,850280,1238.5,5.48
Onion,2014,Rabi       ,Karnataka,13779.0,91319,1238.5,7.599090909
Onion,2014,Summer     ,Karnataka,5782.0,28365,1238.5,5.114090909
Potato,2014,Kharif     ,Karnataka,33572.0,206657,1238.5,6.655555556
Potato,2014,Rabi       ,Karnataka,7334.0,112971,1238.5,15.352
Potato,2014,Summer     ,Karnataka,562.0,7705,1238.5,13.72166667
Rice,2014,Kharif     ,Karnataka,1000025.0,3057611,1238.5,2.812333333
Rice,2014,Rabi       ,Karnataka,48096.0,118479,1238.5,2.493846154
Rice,2014,Summer     ,Karnataka,278414.0,851657,1238.5,2.852
Sugarcane,2014,Whole Year ,Karnataka,480222.0,43838057,1238.5,92.69038462
Sunflower,2014,Kharif     ,Karnataka,154579.0,85506,1238.5,0.5684
Sunflower,2014,Rabi       ,Karnataka,184873.0,105523,1238.5,0.7235
Sunflower,2014,Summer     ,Karnataka,16449.0,14635,1238.5,0.886470588
Wheat,2014,Rabi       ,Karnataka,197615.0,260093,1238.5,1.289285714
Groundnut,2014,Whole Year ,Kerala,480.0,692,3046.4,1.44
Maize,2014,Whole Year ,Kerala,67.0,69,3046.4,1.166666667
Onion,2014,Whole Year ,Kerala,61.0,0,3046.4,0.0
Potato,2014,Whole Year ,Kerala,852.0,15811,3046.4,18.56
Rice,2014,Autumn     ,Kerala,63981.0,161477,3046.4,2.215384615
Rice,2014,Summer     ,Kerala,45188.0,146165,3046.4,2.801428571
Rice,2014,Winter     ,Kerala,88990.0,254450,3046.4,2.500714286
Sugarcane,2014,Whole Year ,Kerala,1517.06,148530,3046.4,45.05384615
Wheat,2014,Whole Year ,Kerala,1.0,3,3046.4,3.0
Maize,2014,Whole Year ,Meghalaya,18037.0,40764,3484.4,2.214545455
Onion,2014,Rabi       ,Meghalaya,499.0,4231,3484.4,8.006
Potato,2014,Summer     ,Meghalaya,12435.0,139328,3484.4,8.149090909
Potato,2014,Winter     ,Meghalaya,6038.0,42957,3484.4,6.598181818
Rice,2014,Autumn     ,Meghalaya,33102.0,76631,3484.4,2.507272727
Rice,2014,Rabi       ,Meghalaya,13620.0,62687,3484.4,2.505454545
Rice,2014,Winter     ,Meghalaya,63601.0,158920,3484.4,2.319090909
Sugarcane,2014,Whole Year ,Meghalaya,111.0,338,3484.4,2.70125
Wheat,2014,Rabi       ,Meghalaya,442.0,844,3484.4,1.568
Bajra,2014,Kharif     ,Tamil Nadu,33124.0,100137,911.3,3.060416667
Bajra,2014,Rabi       ,Tamil Nadu,24584.0,77433,911.3,3.18
Groundnut,2014,Kharif     ,Tamil Nadu,210285.0,491299,911.3,2.411724138
Groundnut,2014,Rabi       ,Tamil Nadu,126229.0,433883,911.3,3.297666667
Maize,2014,Kharif     ,Tamil Nadu,191481.0,1663616,911.3,8.406538462
Maize,2014,Rabi       ,Tamil Nadu,130471.0,984135,911.3,7.637586207
Onion,2014,Kharif     ,Tamil Nadu,11835.0,100221,911.3,8.114074074
Onion,2014,Rabi       ,Tamil Nadu,16270.0,140110,911.3,8.551111111
Potato,2014,Kharif     ,Tamil Nadu,3018.0,68463,911.3,21.70833333
Potato,2014,Rabi       ,Tamil Nadu,1719.0,43468,911.3,22.54
Rice,2014,Kharif     ,Tamil Nadu,1794991.0,7949437,911.3,4.730322581
Sugarcane,2014,Whole Year ,Tamil Nadu,263066.0,28092784,911.3,99.26033333
Sunflower,2014,Kharif     ,Tamil Nadu,2782.0,4214,911.3,1.645833333
Sunflower,2014,Rabi       ,Tamil Nadu,6122.0,8327,911.3,1.4275
Bajra,2015,Kharif     ,Andhra Pradesh,33319.0,58890,940.7,1.908181818
Bajra,2015,Rabi       ,Andhra Pradesh,3421.0,6133,940.7,1.978333333
Groundnut,2015,Kharif     ,Andhra Pradesh,682130.0,597783,940.7,1.811538462
Groundnut,2015,Rabi       ,Andhra Pradesh,92588.0,202773,940.7,2.593076923
Maize,2015,Kharif     ,Andhra Pradesh,75017.0,276205,940.7,3.876923077
Maize,2015,Rabi       ,Andhra Pradesh,157628.0,1135482,940.7,5.915384615
Onion,2015,Kharif     ,Andhra Pradesh,33867.0,573224,940.7,16.65909091
Onion,2015,Rabi       ,Andhra Pradesh,7375.0,122524,940.7,14.99583333
Potato,2015,Kharif     ,Andhra Pradesh,574.0,7851,940.7,7.96
Potato,2015,Rabi       ,Andhra Pradesh,1472.0,17105,940.7,8.875
Rice,2015,Kharif     ,Andhra Pradesh,1398884.0,4115558,940.7,3.091538462
Rice,2015,Rabi       ,Andhra Pradesh,761911.0,3402713,940.7,3.671538462
